"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 11:58:40 GMT 2022","Tue Jul 19 11:58:40 GMT 2022","188","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"broken","Tue Jul 19 11:58:40 GMT 2022","Tue Jul 19 11:58:40 GMT 2022","224","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"broken","Tue Jul 19 11:58:40 GMT 2022","Tue Jul 19 11:58:40 GMT 2022","165","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"broken","Tue Jul 19 11:58:38 GMT 2022","Tue Jul 19 11:58:39 GMT 2022","1000","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"broken","Tue Jul 19 11:58:39 GMT 2022","Tue Jul 19 11:58:40 GMT 2022","238","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
