"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 10:40:54 GMT 2022","Tue Jul 19 10:40:55 GMT 2022","1091","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"broken","Tue Jul 19 10:40:55 GMT 2022","Tue Jul 19 10:40:55 GMT 2022","189","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"broken","Tue Jul 19 10:40:56 GMT 2022","Tue Jul 19 10:40:56 GMT 2022","165","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"broken","Tue Jul 19 10:40:56 GMT 2022","Tue Jul 19 10:40:56 GMT 2022","178","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"broken","Tue Jul 19 10:40:56 GMT 2022","Tue Jul 19 10:40:56 GMT 2022","249","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
