"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:31:10 GMT 2022","Tue Jul 19 12:31:13 GMT 2022","3444","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"passed","Tue Jul 19 12:31:16 GMT 2022","Tue Jul 19 12:31:19 GMT 2022","3083","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 12:31:19 GMT 2022","Tue Jul 19 12:31:23 GMT 2022","3638","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"passed","Tue Jul 19 12:31:23 GMT 2022","Tue Jul 19 12:31:25 GMT 2022","1983","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"passed","Tue Jul 19 12:31:13 GMT 2022","Tue Jul 19 12:31:16 GMT 2022","2982","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
