"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 11:11:36 GMT 2022","Tue Jul 19 11:11:36 GMT 2022","175","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"broken","Tue Jul 19 11:11:36 GMT 2022","Tue Jul 19 11:11:36 GMT 2022","229","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"broken","Tue Jul 19 11:11:36 GMT 2022","Tue Jul 19 11:11:36 GMT 2022","169","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"broken","Tue Jul 19 11:11:35 GMT 2022","Tue Jul 19 11:11:36 GMT 2022","957","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"broken","Tue Jul 19 11:11:36 GMT 2022","Tue Jul 19 11:11:36 GMT 2022","251","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
