"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 12:17:03 GMT 2022","Tue Jul 19 12:17:05 GMT 2022","2112","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"passed","Tue Jul 19 12:16:56 GMT 2022","Tue Jul 19 12:16:59 GMT 2022","2737","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"passed","Tue Jul 19 12:16:49 GMT 2022","Tue Jul 19 12:16:53 GMT 2022","3692","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"failed","Tue Jul 19 12:16:53 GMT 2022","Tue Jul 19 12:16:56 GMT 2022","3187","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
"passed","Tue Jul 19 12:16:59 GMT 2022","Tue Jul 19 12:17:03 GMT 2022","3686","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
